epoch,value,date_time
1578524400.0,2.5,2020-01-08 15:00:00-08:00
1578528000.0,1.0,2020-01-08 16:00:00-08:00
1578546000.0,1.5,2020-01-08 21:00:00-08:00
1578567600.0,2.5,2020-01-09 03:00:00-08:00
1578589200.0,2.5,2020-01-09 09:00:00-08:00
1578605400.0,2.5,2020-01-09 13:30:00-08:00
1578615300.0,2.0,2020-01-09 16:15:00-08:00
1578619800.0,2.0,2020-01-09 17:30:00-08:00
1578636000.0,1.0,2020-01-09 22:00:00-08:00
1578661200.0,2.5,2020-01-10 05:00:00-08:00
1578676500.0,2.5,2020-01-10 09:15:00-08:00
1578690900.0,2.5,2020-01-10 13:15:00-08:00
1578701700.0,2.5,2020-01-10 16:15:00-08:00
1578723300.0,0.5,2020-01-10 22:15:00-08:00
1578740400.0,2.0,2020-01-11 03:00:00-08:00
1578772800.0,3.0,2020-01-11 12:00:00-08:00
1578799800.0,3.0,2020-01-11 19:30:00-08:00
1578826800.0,2.0,2020-01-12 03:00:00-08:00
1578855600.0,3.0,2020-01-12 11:00:00-08:00
1578871800.0,2.5,2020-01-12 15:30:00-08:00
1578892500.0,1.5,2020-01-12 21:15:00-08:00
1578919500.0,2.0,2020-01-13 04:45:00-08:00
1578934800.0,2.5,2020-01-13 09:00:00-08:00
1578956400.0,2.5,2020-01-13 15:00:00-08:00
1578978000.0,2.0,2020-01-13 21:00:00-08:00
1579001400.0,2.0,2020-01-14 03:30:00-08:00
1579021200.0,2.5,2020-01-14 09:00:00-08:00
1579044600.0,2.5,2020-01-14 15:30:00-08:00
1579058100.0,2.0,2020-01-14 19:15:00-08:00
1579093200.0,2.0,2020-01-15 05:00:00-08:00
1579112100.0,2.5,2020-01-15 10:15:00-08:00
1579118400.0,2.0,2020-01-15 12:00:00-08:00
1579123800.0,0.95,2020-01-15 13:30:00-08:00
1579133700.0,1.5,2020-01-15 16:15:00-08:00
1579179600.0,2.0,2020-01-16 05:00:00-08:00
1579197600.0,2.5,2020-01-16 10:00:00-08:00
1579220400.0,2.5,2020-01-16 16:20:00-08:00
1579239900.0,2.0,2020-01-16 21:45:00-08:00
1579267800.0,2.0,2020-01-17 05:30:00-08:00
1579294800.0,2.5,2020-01-17 13:00:00-08:00
1579302000.0,2.5,2020-01-17 15:00:00-08:00
1579326300.0,1.5,2020-01-17 21:45:00-08:00
1579354200.0,2.0,2020-01-18 05:30:00-08:00
1579370400.0,2.0,2020-01-18 10:00:00-08:00
1579374600.0,3.0,2020-01-18 11:10:00-08:00
1579392000.0,2.5,2020-01-18 16:00:00-08:00
1579399200.0,3.0,2020-01-18 18:00:00-08:00
1579442400.0,2.0,2020-01-19 06:00:00-08:00
1579453200.0,3.0,2020-01-19 09:00:00-08:00
1579476600.0,3.0,2020-01-19 15:30:00-08:00
1579499100.0,2.0,2020-01-19 21:45:00-08:00
1579528800.0,2.0,2020-01-20 06:00:00-08:00
1579545000.0,2.5,2020-01-20 10:30:00-08:00
1579561200.0,2.5,2020-01-20 15:00:00-08:00
1579581600.0,2.0,2020-01-20 20:40:00-08:00
1579610700.0,2.0,2020-01-21 04:45:00-08:00
1579627200.0,2.5,2020-01-21 09:20:00-08:00
1579648500.0,2.5,2020-01-21 15:15:00-08:00
1579654800.0,2.5,2020-01-21 17:00:00-08:00
1579696200.0,2.0,2020-01-22 04:30:00-08:00
1579714200.0,2.5,2020-01-22 09:30:00-08:00
1579735800.0,2.5,2020-01-22 15:30:00-08:00
1579757400.0,2.0,2020-01-22 21:30:00-08:00
1579782600.0,2.0,2020-01-23 04:30:00-08:00
1579809600.0,2.5,2020-01-23 12:00:00-08:00
1579816800.0,2.5,2020-01-23 14:00:00-08:00
1579843800.0,2.0,2020-01-23 21:30:00-08:00
1579876200.0,2.0,2020-01-24 06:30:00-08:00
1579892400.0,2.5,2020-01-24 11:00:00-08:00
1579907700.0,2.5,2020-01-24 15:15:00-08:00
1579929300.0,2.0,2020-01-24 21:15:00-08:00
1579964400.0,2.0,2020-01-25 07:00:00-08:00
1579978800.0,2.5,2020-01-25 11:00:00-08:00
1579993200.0,3.0,2020-01-25 15:00:00-08:00
1579998600.0,3.0,2020-01-25 16:30:00-08:00
1580001300.0,2.0,2020-01-25 17:15:00-08:00
1580055000.0,2.0,2020-01-26 08:10:00-08:00
1580074200.0,2.0,2020-01-26 13:30:00-08:00
1580076000.0,2.0,2020-01-26 14:00:00-08:00
1580094000.0,2.0,2020-01-26 19:00:00-08:00
1580124600.0,2.0,2020-01-27 03:30:00-08:00
1580151600.0,2.0,2020-01-27 11:00:00-08:00
1580166900.0,2.0,2020-01-27 15:15:00-08:00
1580187600.0,2.0,2020-01-27 21:00:00-08:00
1580209200.0,2.0,2020-01-28 03:00:00-08:00
1580230800.0,2.0,2020-01-28 09:00:00-08:00
1580252400.0,2.0,2020-01-28 15:00:00-08:00
1580259600.0,2.0,2020-01-28 17:00:00-08:00
1580274000.0,2.0,2020-01-28 21:00:00-08:00
1580306400.0,2.0,2020-01-29 06:00:00-08:00
1580319000.0,2.0,2020-01-29 09:30:00-08:00
1580338800.0,2.0,2020-01-29 15:00:00-08:00
1580349600.0,2.0,2020-01-29 18:00:00-08:00
1580352300.0,2.0,2020-01-29 18:45:00-08:00
1580385600.0,2.0,2020-01-30 04:00:00-08:00
1580404500.0,2.5,2020-01-30 09:15:00-08:00
1580425200.0,2.5,2020-01-30 15:00:00-08:00
1580447400.0,2.0,2020-01-30 21:10:00-08:00
1580472900.0,2.0,2020-01-31 04:15:00-08:00
1580490000.0,2.5,2020-01-31 09:00:00-08:00
1580511600.0,2.5,2020-01-31 15:00:00-08:00
1580518800.0,3.0,2020-01-31 17:00:00-08:00
1580536800.0,2.0,2020-01-31 22:00:00-08:00
1580567400.0,2.0,2020-02-01 06:30:00-08:00
1580590800.0,2.5,2020-02-01 13:00:00-08:00
1580598000.0,3.0,2020-02-01 15:00:00-08:00
1580612400.0,1.0,2020-02-01 19:00:00-08:00
1580621400.0,2.5,2020-02-01 21:30:00-08:00
1580623200.0,2.0,2020-02-01 22:00:00-08:00
1580654700.0,2.0,2020-02-02 06:45:00-08:00
1580684400.0,2.0,2020-02-02 15:00:00-08:00
1580695200.0,1.0,2020-02-02 18:00:00-08:00
1580706000.0,1.5,2020-02-02 21:00:00-08:00
1580731200.0,2.0,2020-02-03 04:00:00-08:00
1580749200.0,2.5,2020-02-03 09:00:00-08:00
1580772600.0,2.0,2020-02-03 15:30:00-08:00
1580794200.0,1.5,2020-02-03 21:30:00-08:00
1580814000.0,1.5,2020-02-04 03:00:00-08:00
1580835600.0,1.5,2020-02-04 09:00:00-08:00
1580857200.0,1.5,2020-02-04 15:00:00-08:00
1580864400.0,1.5,2020-02-04 17:00:00-08:00
1580896800.0,1.5,2020-02-05 02:00:00-08:00
1580922000.0,1.5,2020-02-05 09:00:00-08:00
1580943600.0,1.5,2020-02-05 15:00:00-08:00
1580949000.0,2.0,2020-02-05 16:30:00-08:00
1580954400.0,2.0,2020-02-05 18:00:00-08:00
1580987700.0,1.5,2020-02-06 03:15:00-08:00
1581008400.0,2.5,2020-02-06 09:00:00-08:00
1581030000.0,2.5,2020-02-06 15:00:00-08:00
1581051600.0,2.0,2020-02-06 21:00:00-08:00
1581074100.0,2.0,2020-02-07 03:15:00-08:00
